Severity	Code	Description	Project	File	Line	Suppression State	Details
Error (active)	CS1061	'ISetupStep?' does not contain a definition for 'Execute' and no accessible extension method 'Execute' accepting a first argument of type 'ISetupStep?' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupReviewRunStep.cs	90		
Error (active)	CS0433	The type 'ConnectionConfigStepOptions' exists in both 'DataManagementEngine, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null' and 'DataManagementModels, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null'	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupConnectionStep.cs	21		
Error (active)	CS0433	The type 'SetupContext' exists in both 'DataManagementEngine, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null' and 'DataManagementModels, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null'	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupConnectionStep.cs	22		
Error (active)	CS0433	The type 'ConnectionConfigStepOptions' exists in both 'DataManagementEngine, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null' and 'DataManagementModels, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null'	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupConnectionStep.cs	61		
Error (active)	CS0433	The type 'SetupContext' exists in both 'DataManagementEngine, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null' and 'DataManagementModels, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null'	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupConnectionStep.cs	61		
Error (active)	CS1061	'SetupContext?' does not contain a definition for 'Properties' and no accessible extension method 'Properties' accepting a first argument of type 'SetupContext?' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupConnectionStep.cs	72		
Error (active)	CS0165	Use of unassigned local variable 'svc'	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupConnectionStep.cs	73		
Error (active)	CS0019	Operator '!=' cannot be applied to operands of type 'ConnectionConfigStepOptions?' and '<null>'	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupConnectionStep.cs	122		
Error (active)	CS1061	'ConnectionConfigStepOptions?' does not contain a definition for 'ConnectionProperties' and no accessible extension method 'ConnectionProperties' accepting a first argument of type 'ConnectionConfigStepOptions?' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupConnectionStep.cs	123		
Error (active)	CS0433	The type 'SetupContext' exists in both 'DataManagementEngine, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null' and 'DataManagementModels, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null'	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupDriverStep.cs	27		
Error (active)	CS0433	The type 'SetupContext' exists in both 'DataManagementEngine, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null' and 'DataManagementModels, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null'	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupDriverStep.cs	70		
Error (active)	CS0433	The type 'ISetupStep' exists in both 'DataManagementEngine, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null' and 'DataManagementModels, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null'	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupReviewRunStep.cs	20		
Error (active)	CS0433	The type 'SetupContext' exists in both 'DataManagementEngine, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null' and 'DataManagementModels, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null'	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupReviewRunStep.cs	21		
Error (active)	CS0433	The type 'ISetupStep' exists in both 'DataManagementEngine, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null' and 'DataManagementModels, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null'	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupReviewRunStep.cs	34		
Error (active)	CS0433	The type 'SetupContext' exists in both 'DataManagementEngine, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null' and 'DataManagementModels, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null'	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupReviewRunStep.cs	34		
Error (active)	CS0019	Operator '==' cannot be applied to operands of type 'ISetupStep?' and '<null>'	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupReviewRunStep.cs	53		
Error (active)	CS0019	Operator '==' cannot be applied to operands of type 'SetupContext?' and '<null>'	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupReviewRunStep.cs	53		
Error (active)	CS0019	Operator '!=' cannot be applied to operands of type 'SetupContext?' and '<null>'	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupReviewRunStep.cs	73		
Error (active)	CS1061	'SetupContext?' does not contain a definition for 'State' and no accessible extension method 'State' accepting a first argument of type 'SetupContext?' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupReviewRunStep.cs	74		
Error (active)	CS1061	'ISetupStep?' does not contain a definition for 'Validate' and no accessible extension method 'Validate' accepting a first argument of type 'ISetupStep?' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupReviewRunStep.cs	83		
Error (active)	CS1061	'ISetupStep?' does not contain a definition for 'StepId' and no accessible extension method 'StepId' accepting a first argument of type 'ISetupStep?' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupReviewRunStep.cs	92		
Error (active)	CS0433	The type 'SetupContext' exists in both 'DataManagementEngine, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null' and 'DataManagementModels, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null'	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupSchemaStep.cs	30		
Error (active)	CS0433	The type 'SetupContext' exists in both 'DataManagementEngine, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null' and 'DataManagementModels, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null'	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupSchemaStep.cs	77		
Error (active)	CS0433	The type 'SetupContext' exists in both 'DataManagementEngine, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null' and 'DataManagementModels, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null'	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupSeedingStep.cs	20		
Error (active)	CS0433	The type 'SetupContext' exists in both 'DataManagementEngine, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null' and 'DataManagementModels, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null'	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupSeedingStep.cs	43		
Error (active)	CS0433	The type 'ISetupWizard' exists in both 'DataManagementEngine, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null' and 'DataManagementModels, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null'	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupWizard.cs	175		
Error (active)	CS0433	The type 'SetupContext' exists in both 'DataManagementEngine, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null' and 'DataManagementModels, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null'	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupWizard.cs	176		
Error (active)	CS0433	The type 'ConnectionConfigStepOptions' exists in both 'DataManagementEngine, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null' and 'DataManagementModels, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null'	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupWizard.cs	178		
Error (active)	CS0433	The type 'SetupReport' exists in both 'DataManagementEngine, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null' and 'DataManagementModels, Version=3.1.0.0, Culture=neutral, PublicKeyToken=null'	TheTechIdea.Beep.Winform.Default.Views	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Winform.Data.Integrated\Beep.Winform.Data.Integrated.Views\Setup\uc_SetupWizard.cs	463		
